categorie,product,eenheid,prijs_ex,btw,status,b2c
# SAMPLE DATA for build/testing only. Replace every row with S&A's own,,,,,,
# products and prices before launch.,,,,,,
# Fresh produce only — S&A does not sell zuivel/kaas or non-food.,,,,,,
# prijs_ex = price EXCLUDING BTW. Leave blank for a day price.,,,,,,
# btw = OPTIONAL. Blank means 9 (all fresh produce in NL). Only fill it in,,,,,,
#   if a product is ever 21% — nothing in the current range is.,,,,,,
# status = normaal | dagprijs | seizoen | uitverkocht,,,,,,
# b2c = TRUE if the pack size makes sense for a consumer. FALSE = wholesale only.,,,,,,
Aardappelen,Agria aardappelen,Kilo,0.95,9,normaal,TRUE
Aardappelen,Krieltjes gewassen,Kilo,1.95,9,normaal,TRUE
Aardappelen,Dore aardappelen,2.5 kg,2.99,9,normaal,TRUE
Aardappelen,Nicola aardappelen,5 kg,3.50,9,normaal,TRUE
Aardappelen,Zoete aardappelen,Kilo,1.50,9,normaal,TRUE
Aardappelen,Tafelaardappel schoon geschild,Zak 5 kg,6.95,9,normaal,FALSE
Aardappelen,Verse friet met schil,Zak 5 kg,7.95,9,normaal,FALSE
Aardappelen,Verse friet,Kilo,2.95,9,normaal,TRUE
Uien,Ui geel,Kilo,1.50,9,normaal,TRUE
Uien,Ui rood,Kilo,0.99,9,normaal,TRUE
Uien,Uien baal,Baal 5 kg,3.95,9,normaal,TRUE
Uien,Spaanse ui,Baal 25 kg,13.95,9,normaal,FALSE
Uien,Banaansjalotten,Kilo,1.50,9,normaal,TRUE
Uien,Ui schoon geschild,Kilo,1.40,9,normaal,TRUE
Knoflook,Knoflook vers,Stuk,0.49,9,normaal,TRUE
Knoflook,Knoflook streng 500 gram,Streng,2.49,9,normaal,TRUE
Knoflook,Knoflook gepeld,Vacuum 1 kg,4.95,9,normaal,FALSE
Groenten,Broccoli 500 gram,Stuk,0.99,9,normaal,TRUE
Groenten,Bloemkool,Stuk,1.95,9,normaal,TRUE
Groenten,Spitskool,Stuk,0.99,9,normaal,TRUE
Groenten,Witte kool,Stuk,0.99,9,normaal,TRUE
Groenten,Rode kool,Stuk,0.99,9,normaal,TRUE
Groenten,Knolselderij,Stuk,0.99,9,normaal,TRUE
Groenten,Prei,Kilo,0.99,9,normaal,TRUE
Groenten,Winterpeen,Kilo,1.25,9,normaal,TRUE
Groenten,Bospeen,Bos,0.99,9,normaal,TRUE
